list-none-m,1,1000,1,3000,4603511,1534,26
list-none-m,2,1000,1,6000,33192106,5532,5517
list-none-m,4,1000,1,12000,99644232,8303,21521
list-none-m,8,1000,1,24000,456672553,19028,116036
list-none-m,12,1000,1,36000,1263140959,35087,354872
list-none-m,16,1000,1,48000,2100035225,43750,572224
list-none-m,24,1000,1,72000,4178845040,58039,1099327
list-none-s,1,1000,1,3000,6881725,2293,31
list-none-s,2,1000,1,6000,39524122,6587,6389
list-none-s,4,1000,1,12000,148021832,12335,36901
list-none-s,8,1000,1,24000,635432001,26476,178467
list-none-s,12,1000,1,36000,1672469354,46457,489474
list-none-s,16,1000,1,48000,3886536130,80969,1197990
list-none-s,24,1000,1,72000,10150737259,140982,3094977
list-none-m,1,1000,1,3000,4672125,1557,26
list-none-m,2,1000,1,6000,26395765,4399,4362
list-none-m,4,1000,1,12000,105123400,8760,25251
list-none-m,8,1000,1,24000,445856353,18577,116400
list-none-m,16,1000,1,48000,1813682365,37785,500573
list-none-m,24,1000,1,72000,4580753110,63621,1232603
list-id-none,1,1,1,3,92233,30744,0
list-id-none,4,1,1,12,176225,14685,0
list-id-none,8,1,1,24,345293,14387,0
list-id-none,12,1,1,36,557699,15491,0
list-id-none,16,1,1,48,699632,14575,0
list-id-none,1,2,1,6,85677,14279,0
list-id-none,4,2,1,24,457573,19065,0
list-id-none,8,2,1,48,415575,8657,0
list-id-none,12,2,1,72,574920,7985,0
list-id-none,16,2,1,96,782047,8146,0
list-id-none,1,4,1,12,102218,8518,0
list-id-none,8,4,1,96,427144,4449,0
list-id-none,12,4,1,144,551081,3826,0
list-id-none,16,4,1,192,654129,3406,0
list-id-none,1,8,1,24,108346,4514,0
list-id-none,1,16,1,48,133267,2776,0
list-id-s,1,10,1,30,110418,3680,37
list-id-s,4,10,1,120,227603,1896,824
list-id-s,8,10,1,240,377754,1573,543
list-id-s,12,10,1,360,912037,2533,10917
list-id-s,16,10,1,480,814042,1695,510
list-id-s,1,20,1,60,134956,2249,36
list-id-s,4,20,1,240,386514,1610,2129
list-id-s,8,20,1,480,1270951,2647,12639
list-id-s,12,20,1,720,101473125,140934,1378111
list-id-s,16,20,1,960,188380442,196229,2695746
list-id-s,1,40,1,120,204361,1703,33
list-id-s,4,40,1,480,1066368,2221,5104
list-id-s,8,40,1,960,2860307,2979,18023
list-id-s,12,40,1,1440,230832454,160300,1742238
list-id-s,16,40,1,1920,148756673,77477,1094465
list-id-s,1,80,1,240,340968,1420,32
list-id-s,4,80,1,960,1989724,2072,5477
list-id-s,8,80,1,1920,7226606,3763,23925
list-id-s,12,80,1,2880,292958143,101721,1106461
list-id-s,16,80,1,3840,1673486698,435803,6259000
list-id-m,1,10,1,30,137695,4589,193
list-id-m,4,10,1,120,1009625,8413,3950
list-id-m,8,10,1,240,2547207,10613,46956
list-id-m,12,10,1,360,1041757,2893,11140
list-id-m,16,10,1,480,2413241,5027,45420
list-id-m,1,20,1,60,150451,2507,79
list-id-m,4,20,1,240,676882,2820,5520
list-id-m,8,20,1,480,1383466,2882,10520
list-id-m,12,20,1,720,3136122,4355,31378
list-id-m,16,20,1,960,3586267,3735,35541
list-id-m,1,40,1,120,212601,1771,78
list-id-m,4,40,1,480,1301658,2711,6201
list-id-m,8,40,1,960,6423760,6691,34019
list-id-m,12,40,1,1440,6601504,4584,35001
list-id-m,16,40,1,1920,9819734,5114,60031
list-id-m,1,80,1,240,343196,1429,55
list-id-m,4,80,1,960,3308912,3446,9271
list-id-m,8,80,1,1920,8212629,4277,23662
list-id-m,12,80,1,2880,14174302,4921,44324
list-id-m,16,80,1,3840,40175643,10462,129797
list-none-m,1,1000,1,3000,7010769,2336,44
list-none-m,1,1000,4,3000,2261871,753,39
list-none-m,1,1000,8,3000,1495121,498,43
list-none-m,1,1000,16,3000,1046744,348,39
list-none-m,2,1000,1,6000,36898193,6149,6013
list-none-m,2,1000,4,6000,11450368,1908,1101
list-none-m,2,1000,8,6000,4802930,800,372
list-none-m,2,1000,16,6000,4733668,788,313
list-none-m,4,1000,1,12000,134842919,11236,32950
list-none-m,4,1000,4,12000,26095421,2174,3834
list-none-m,4,1000,8,12000,12689801,1057,1392
list-none-m,4,1000,16,12000,7542703,628,665
list-none-m,8,1000,1,24000,437179130,18215,106184
list-none-m,8,1000,4,24000,72421040,3017,15175
list-none-m,8,1000,8,24000,30766872,1281,5202
list-none-m,8,1000,16,24000,16687336,695,2357
list-none-m,12,1000,1,36000,1275238375,35423,360868
list-none-m,12,1000,4,36000,171174154,4754,43107
list-none-m,12,1000,8,36000,62182208,1727,12799
list-none-m,12,1000,16,36000,26733754,742,4214
list-none-s,1,1000,1,3000,4565949,1521,23
list-none-s,1,1000,4,3000,1490798,496,25
list-none-s,1,1000,8,3000,952896,317,23
list-none-s,1,1000,16,3000,675091,225,23
list-none-s,2,1000,1,6000,33074868,5512,5515
list-none-s,2,1000,4,6000,6188592,1031,291
list-none-s,2,1000,8,6000,3314557,552,100
list-none-s,2,1000,16,6000,2016709,336,54
list-none-s,4,1000,1,12000,126706095,10558,31606
list-none-s,4,1000,4,12000,17354234,1446,1924
list-none-s,4,1000,8,12000,11720829,976,816
list-none-s,4,1000,16,12000,6109918,509,259
list-none-s,8,1000,1,24000,607249123,25302,169027
list-none-s,8,1000,4,24000,61777815,2574,12402
list-none-s,8,1000,8,24000,24156401,1006,3341
list-none-s,8,1000,16,24000,11608342,483,873
list-none-s,12,1000,1,36000,1813261459,50368,535206
list-none-s,12,1000,4,36000,221541739,6153,54657
