list-none-none,1,10,1,30,98014,3267
list-none-none,1,100,1,300,133124,443
list-none-none,1,1000,1,3000,4535542,1511
list-none-none,1,10000,1,30000,684677848,22822
list-none-none,1,20000,1,60000,3730309440,62171
list-none-none,2,1,1,6,126658,21109
list-none-none,2,10,1,60,95359,1589
list-none-none,8,10,1,240,329111,1371
list-none-none,12,1,1,36,416000,11555
list-none-none,12,10,1,360,455457,1265
list-i-none,2,1,1,6,85743,14290
list-i-none,2,2,1,12,87341,7278
list-i-none,2,4,1,24,88544,3689
list-i-none,2,16,1,96,170918,1780
list-i-none,4,1,1,12,142565,11880
list-i-none,4,2,1,24,133259,5552
list-i-none,4,4,1,48,163028,3396
list-i-none,4,8,1,96,161536,1682
list-i-none,8,1,1,24,275024,11459
list-i-none,8,2,1,48,244691,5097
list-i-none,8,4,1,96,325914,3394
list-i-none,8,8,1,192,327348,1704
list-i-none,12,1,1,36,400800,11133
list-d-none,2,1,1,6,131641,21940
list-d-none,2,2,1,12,112832,9402
list-d-none,2,4,1,24,97551,4064
list-d-none,2,8,1,48,90584,1887
list-d-none,4,1,1,12,155065,12922
list-d-none,8,1,1,24,308736,12864
list-d-none,8,2,1,48,275319,5735
list-il-none,2,2,1,12,166554,13879
list-il-none,2,4,1,24,109943,4580
list-il-none,2,8,1,48,134434,2800
list-il-none,2,16,1,96,198198,2064
list-il-none,4,1,1,12,213678,17806
list-il-none,4,4,1,48,162703,3389
list-il-none,8,1,1,24,305526,12730
list-il-none,12,2,1,72,417437,5797
list-il-none,12,4,1,144,397628,2761
list-il-none,12,8,1,288,400788,1391
list-dl-none,2,1,1,6,120073,20012
list-dl-none,2,2,1,12,114110,9509
list-dl-none,2,4,1,24,123061,5127
list-dl-none,2,8,1,48,167788,3495
list-dl-none,2,16,1,96,166427,1733
list-dl-none,4,1,1,12,141348,11779
list-dl-none,4,4,1,48,146368,3049
list-i-s,2,1,1,6,84109,14018
list-i-s,2,2,1,12,135493,11291
list-i-s,2,4,1,24,82354,3431
list-i-s,2,8,1,48,113764,2370
list-i-s,2,16,1,96,109174,1137
